Time,PresentPositionID0,PresentCurrentID0,PresentPositionID1,PresentCurrentID1,PresentPositionID2,PresentCurrentID2
151,2000,0,2000,2,2000,0
152,2000,0,2000,2,2000,0
153,2000,0,2000,1,2000,0
154,2000,0,1999,1,2000,0
155,2001,0,2000,1,2000,0
156,2000,0,2000,2,2000,0
157,2000,0,2000,1,2000,0
158,2000,0,2000,1,2000,0
159,2000,0,2000,0,2000,0
160,2000,0,2000,2,2000,0
161,2000,0,2000,1,2000,0
162,2000,0,2000,1,2000,0
163,2000,0,2000,1,2000,0
164,2000,0,2000,1,2000,0
165,2000,0,2000,2,2000,0
166,2000,0,2000,1,2000,0
167,2000,0,2000,1,2000,0
168,2000,0,2000,1,2000,0
169,2000,0,2000,1,2000,0
170,2000,0,2000,1,2000,0
171,2000,0,2000,1,2000,0
172,2000,0,2000,1,2000,0
173,2000,0,2000,1,2000,0
174,2000,0,2000,1,2000,0
175,2000,0,2000,1,2000,0
176,2000,0,2000,1,2000,0
177,2000,0,2000,1,2000,0
178,2000,0,2000,0,2000,0
179,2000,0,2000,1,2000,0
180,2000,0,1999,2,2000,0
181,2000,0,2000,1,2000,0
182,2001,0,2000,1,2000,0
183,2000,0,1999,1,2000,0
184,2000,0,2000,1,2000,0
185,2001,0,2000,1,2000,0
186,2000,0,1999,1,2000,0
187,2000,0,1999,1,2000,0
188,2000,0,2000,1,2000,0
189,2000,0,2000,2,2000,0
190,2000,0,2000,1,2000,0
191,2000,0,2000,1,2000,0
192,2000,0,2000,1,2000,0
193,2000,0,2000,2,2000,0
194,2001,0,2000,0,2000,0
195,2000,0,2000,1,2000,0
196,2000,0,2000,0,2000,0
197,2000,0,2000,1,2000,0
198,2000,0,2000,1,2000,0
199,2000,0,1999,1,2000,0
200,1835,-73,1757,-54,1667,-34
201,1447,-34,1357,-26,1257,-31
202,1046,-36,953,-24,848,-32
203,651,-34,547,-31,436,-29
204,250,-32,149,-24,38,124
205,0,-16,0,1,0,0
206,0,0,0,1,0,0
207,0,0,0,1,0,0
208,0,0,0,1,0,0
209,0,0,0,1,0,0
210,0,0,0,0,0,0
211,0,0,0,1,0,0
212,0,0,0,0,0,0
213,0,0,0,1,0,0
214,0,0,0,1,0,0
215,0,0,0,1,0,0
216,0,0,0,1,0,0
217,0,0,0,2,0,0
218,0,0,0,0,0,0
219,0,0,0,1,0,0
220,0,0,0,1,0,0
221,0,0,0,1,0,0
222,0,0,0,2,0,0
223,0,0,0,1,0,0
224,0,0,0,2,0,0
225,0,0,0,1,0,0
226,0,0,0,1,0,0
227,0,0,0,1,0,0
228,0,0,0,1,0,0
229,0,0,0,1,0,0
230,0,0,0,1,0,0
231,0,0,0,1,0,0
232,0,0,0,1,0,0
233,0,0,0,1,0,0
234,0,0,0,1,0,0
235,0,0,0,1,0,0
236,0,0,0,1,0,0
237,0,0,0,1,0,0
238,0,0,0,1,0,0
239,0,0,0,1,0,0
240,0,0,0,1,0,0
241,0,0,0,1,0,0
242,0,0,0,2,0,0
243,0,0,0,2,0,0
244,-1,0,0,1,0,0
245,0,0,0,1,0,0
246,0,0,0,1,0,0
247,0,0,0,1,0,0
248,0,0,0,1,0,0
249,0,0,0,0,0,0
250,0,0,0,1,0,0
251,0,0,0,2,0,0
252,0,0,0,1,0,0
253,0,0,0,1,0,0
254,0,0,0,0,0,0
255,0,0,0,1,0,0
256,0,0,0,2,0,0
257,-1,0,0,2,0,0
258,0,0,0,1,0,0
259,0,0,0,1,0,0
260,0,0,0,2,0,0
261,0,0,0,1,0,0
262,0,0,0,1,0,0
263,0,0,0,1,0,0
264,0,0,0,1,0,0
265,0,0,0,1,1,0
266,0,0,0,1,0,0
267,0,0,0,1,0,0
268,0,0,0,1,0,0
269,0,0,0,1,0,0
270,-1,0,0,1,0,0
271,0,0,0,1,0,0
272,0,0,0,2,0,0
273,0,0,0,1,0,0
274,0,0,0,2,0,0
275,0,0,0,1,0,0
276,0,0,0,1,0,0
277,0,0,0,2,0,0
278,-1,0,0,1,0,0
279,0,0,0,1,0,0
280,0,0,0,1,0,0
281,0,0,0,1,0,0
282,0,0,0,1,0,0
283,0,0,0,2,0,0
284,0,0,0,2,0,0
285,0,0,0,2,0,0
286,0,0,0,1,0,0
287,0,0,0,2,0,0
288,0,0,0,1,0,0
289,0,0,0,1,0,0
290,0,0,0,1,0,0
291,0,0,0,1,0,0
292,0,0,0,1,0,0
293,0,0,0,1,0,0
294,0,0,0,1,0,0
295,0,0,0,1,0,0
296,0,0,0,1,0,0
297,0,0,0,1,0,0
298,0,0,0,0,0,0
299,0,0,0,1,0,0
