time,motor,position,current
14.4241,19,1555,-46
14.4561,20,2144,-10
14.488,21,2085,6
14.52,22,1327,-19
14.552,23,2074,0
14.5839,24,1597,0
14.6159,25,1804,-1
14.7123,3,281,-25
14.7438,4,3528,0
14.7758,5,2034,-7
14.8078,6,3462,22
14.8398,7,1912,-18
14.8717,8,2647,19
14.9037,9,1612,4
14.9356,10,2286,-21
14.9676,11,2877,-7
14.9996,12,1056,-25
15.0316,13,2044,4
15.0635,14,1583,0
15.0956,15,1766,0
15.1275,16,1828,106
15.1595,17,962,15
15.1914,18,2022,0
15.2235,19,1555,-32
15.2555,20,2144,-11
15.2875,21,2085,6
15.3194,22,1327,-18
15.3515,23,2074,0
15.3834,24,1597,0
15.4154,25,1805,0
15.5119,3,281,-24
15.5434,4,3528,0
15.5754,5,2034,-6
15.6073,6,3462,22
15.6394,7,1911,-14
15.6714,8,2647,19
15.7034,9,1612,5
15.7353,10,2286,-21
15.7674,11,2877,-8
15.7993,12,1056,-28
15.8312,13,2044,2
15.8633,14,1583,0
15.8953,15,1766,0
15.9272,16,1828,106
15.9593,17,962,15
15.9913,18,2022,4
16.0232,19,1556,-27
16.0552,20,2144,-18
16.0873,21,2086,4
16.1192,22,1328,-18
16.1512,23,2074,0
16.1832,24,1597,0
16.2152,25,1804,-1
16.3116,3,281,-24
16.3431,4,3528,0
16.3751,5,2034,-6
16.4071,6,3462,21
16.439,7,1911,-14
16.471,8,2647,19
16.503,9,1613,5
16.5351,10,2286,-20
16.567,11,2877,-6
16.599,12,1056,-26
16.631,13,2044,2
16.663,14,1583,0
16.6949,15,1766,0
16.727,16,1827,104
16.759,17,962,16
16.7909,18,2022,0
16.823,19,1556,-25
16.8552,20,2144,-14
16.8869,21,2085,5
16.919,22,1327,-18
16.9509,23,2074,0
16.9829,24,1597,0
17.0149,25,1804,-1
17.1112,3,281,-25
17.1431,4,3528,0
17.1751,5,2034,-6
17.207,6,3462,22
17.239,7,1911,-14
17.2709,8,2647,22
17.3029,9,1613,4
17.3349,10,2286,-21
17.3669,11,2877,-6
17.3988,12,1056,-26
17.4308,13,2044,3
17.4628,14,1583,0
17.4948,15,1766,0
17.5267,16,1827,106
17.5588,17,962,15
17.5907,18,2022,0
17.6227,19,1556,-23
17.6547,20,2144,-11
17.6867,21,2085,5
17.7187,22,1327,-19
17.7507,23,2074,0
17.7826,24,1597,0
17.8146,25,1804,0
17.911,3,281,-25
17.9426,4,3528,0
17.9746,5,2034,-6
18.0066,6,3462,22
18.0385,7,1911,-22
18.0705,8,2647,20
18.1026,9,1613,4
18.1345,10,2286,-21
18.1727,11,2877,-6
18.1985,12,1056,-26
18.2305,13,2045,4
18.2625,14,1583,0
18.2945,15,1766,0
18.3265,16,1828,104
18.3584,17,962,14
18.3904,18,2022,0
18.4224,19,1556,-26
18.4544,20,2144,-11
18.4863,21,2086,2
18.5184,22,1327,-18
18.5505,23,2074,0
18.5823,24,1597,0
18.6143,25,1804,-2
18.7108,3,281,-25
18.7423,4,3528,0
18.7743,5,2034,-6
18.8063,6,3462,21
